millis,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
800,-0.0920,-0.2324,1.2222,-46.0014,-43.3873,-26.4034
810,-0.1073,-0.2060,1.2035,-54.1741,-50.2119,-26.3809
820,-0.0901,-0.1785,1.2355,-56.4634,-61.2112,-22.4634
830,-0.1429,-0.1804,1.2170,-64.3284,-68.0686,-23.5027
840,-0.1527,-0.1194,1.1651,-62.9349,-74.1713,-19.8198
850,-0.1611,-0.1427,1.1678,-68.8886,-83.0883,-22.1040
860,-0.2006,-0.0543,1.0770,-72.6710,-83.7666,-19.8088
870,-0.2391,-0.0749,1.0228,-72.8294,-89.0980,-19.2167
880,-0.2217,-0.0579,0.9295,-73.5893,-90.1186,-17.7329
890,-0.2724,-0.0514,0.8514,-68.9531,-90.1288,-17.1097
900,-0.3078,-0.0730,0.8177,-64.0346,-87.2187,-15.5379
910,-0.2939,0.0061,0.7765,-63.4396,-84.5847,-10.4949
920,-0.3013,0.0357,0.7421,-56.4723,-78.7725,-13.7320
930,-0.3194,0.0945,0.7473,-53.9624,-75.9656,-11.8024
940,-0.2844,0.0489,0.6824,-44.8416,-70.6044,-9.8218
950,-0.2637,0.1338,0.7225,-33.1516,-62.5877,-6.3161
960,-0.2720,0.1052,0.7343,-33.4429,-52.6584,-5.1774
970,-0.1948,0.1388,0.8400,-19.5295,-41.1536,-2.4051
980,-0.1579,0.0831,0.8461,-12.0780,-34.7348,-5.4666
990,-0.1194,0.1439,0.8955,-10.6930,-27.5531,-0.8736
1000,-0.0922,0.1400,0.9439,-0.9849,-15.2439,-0.0835
1010,-0.0140,0.1633,1.0421,8.2981,-4.8573,1.2713
1020,0.0497,0.1514,1.0763,21.1570,6.1754,3.8744
1030,0.1178,0.1225,1.1506,28.3987,17.9107,1.6116
1040,0.1412,0.1579,1.1440,36.4316,24.7163,7.6005
1050,0.2233,0.1437,1.2360,45.3067,38.3771,8.8869
1060,0.2284,0.1292,1.2354,51.0559,51.3332,7.3805
1070,0.2854,0.1217,1.2372,57.5016,59.1429,11.6333
1080,0.3439,0.1062,1.2341,61.4240,62.5969,16.3738
1090,0.3218,0.0645,1.1747,68.3735,73.6689,13.9544
1100,0.3371,0.0151,1.1287,67.8046,76.4036,17.3655
1110,0.3722,-0.0094,1.0901,74.7097,88.3044,17.1174
1120,0.3377,0.0232,1.0290,71.4366,87.9190,17.1049
1130,0.3283,-0.0142,0.9533,70.2544,87.2246,18.0632
1140,0.3219,-0.0515,0.8976,71.7462,91.4762,20.2070
1150,0.3192,-0.0852,0.8349,69.1033,87.7465,24.5103
1160,0.2271,-0.1010,0.8102,60.6729,87.9997,24.5096
1170,0.2303,-0.1233,0.7801,60.8923,83.6826,22.2849
1180,0.1964,-0.1550,0.7365,51.8873,76.1885,26.4789
1190,0.1662,-0.1836,0.7667,46.4892,73.3713,24.9120
1200,0.1434,-0.1456,0.7069,42.5634,62.2569,24.3546
1210,0.1188,-0.2005,0.7554,31.8882,59.3315,27.0108
1220,0.1178,-0.2317,0.8309,26.1490,47.8363,24.7024
1230,0.0741,-0.2558,0.8281,17.4259,37.4860,23.6163
1240,0.0752,-0.2531,0.8548,13.9796,26.5320,29.4415
1250,0.0601,-0.2312,0.9773,0.6438,21.7428,23.3238
1260,0.0209,-0.2337,1.0123,-9.0199,12.1612,27.9857
1270,0.0183,-0.2543,1.0427,-18.4040,-4.9511,23.7473
1280,0.0329,-0.2471,1.1304,-25.4842,-9.2283,26.5028
1290,-0.0149,-0.2488,1.1448,-32.2339,-23.7252,25.8086
1300,-0.0540,-0.2573,1.1721,-39.7772,-34.4280,24.9169
1310,-0.0659,-0.1974,1.2195,-45.4524,-44.9617,20.8814
1320,-0.1077,-0.2020,1.2193,-53.5234,-54.8248,24.3378
1330,-0.1059,-0.1457,1.1995,-58.5158,-59.2188,23.8307
1340,-0.1235,-0.1900,1.1884,-63.2655,-70.0199,21.2116
1350,-0.1892,-0.1546,1.1327,-68.1376,-80.8991,21.8125
1360,-0.2047,-0.1119,1.1041,-69.7093,-78.6579,22.8906
1370,-0.2044,-0.1114,1.0459,-70.0311,-84.6886,18.4228
1380,-0.2623,-0.1101,1.0001,-70.2483,-90.8512,19.1825
1390,-0.2689,-0.0782,0.9185,-72.1092,-90.5690,15.2424
1400,-0.3132,-0.0300,0.8368,-72.3912,-91.3227,16.8315
1410,-0.3208,-0.0013,0.7876,-67.5026,-87.9259,16.0105
1420,-0.3204,0.0140,0.7677,-61.2203,-84.2405,18.2078
1430,-0.2652,0.0577,0.7762,-62.0167,-80.4615,13.6915
1440,-0.3086,0.0783,0.7480,-52.3709,-76.7517,11.2924
1450,-0.2963,0.0831,0.7175,-44.5318,-71.1526,11.8004
1460,-0.2698,0.0973,0.7655,-38.4416,-59.5587,5.2755
1470,-0.2294,0.1074,0.7531,-31.6491,-52.6816,7.7304
1480,-0.1695,0.1377,0.8432,-16.7775,-37.9476,2.7399
1490,-0.1320,0.1555,0.8687,-8.6922,-33.3488,0.9063
1500,-0.0460,0.1453,0.9483,-3.4812,-20.1742,2.6919
1510,-0.0297,0.1575,1.0063,8.4854,-10.7279,-0.6604
1520,0.0487,0.1435,1.0472,16.9917,-1.4595,-0.1219
1530,0.0816,0.1202,1.1164,20.8719,13.7920,-7.2797
1540,0.1411,0.1239,1.1360,36.6172,22.2538,-5.4973
1550,0.1501,0.1518,1.1931,37.0911,30.8655,-8.6738
1560,0.2180,0.1362,1.2391,44.9633,41.1042,-9.6062
1570,0.2577,0.1469,1.3106,49.5433,52.6699,-14.3130
1580,0.2925,0.0986,1.2376,58.4816,58.5010,-10.4439
1590,0.2785,0.0977,1.2059,60.3130,70.8109,-13.2855
1600,0.3557,0.0886,1.1531,66.5511,75.8046,-16.9598
1610,0.3405,0.0598,1.1481,71.7435,79.8779,-19.0871
1620,0.3410,0.0020,1.0322,71.9650,87.7833,-19.6041
1630,0.3393,-0.0110,0.9955,71.5743,91.1907,-16.2337
1640,0.3279,-0.0291,0.9572,74.7799,90.7411,-20.3357
1650,0.3239,-0.0752,0.8679,68.4592,90.2845,-21.8342
1660,0.2717,-0.0676,0.8748,70.0259,92.6253,-21.0810
1670,0.2522,-0.0826,0.8153,63.7382,89.5657,-23.0183
1680,0.2496,-0.1364,0.7462,60.1997,81.3656,-23.4247
1690,0.2185,-0.1100,0.7245,54.2739,77.6935,-23.1691
1700,0.1815,-0.1750,0.7026,48.4898,71.8577,-24.5942
1710,0.1492,-0.1931,0.7098,40.7657,63.9137,-24.0919
1720,0.1189,-0.2101,0.7695,31.8921,53.9047,-28.6003
1730,0.1102,-0.2339,0.8097,24.1541,49.2981,-26.4781
1740,0.1141,-0.2224,0.8479,18.2959,38.7220,-27.5294
1750,0.0500,-0.2389,0.8967,9.1690,29.2920,-26.7633
1760,0.0794,-0.2132,0.9477,-2.9256,19.6628,-27.1067
1770,0.0474,-0.2374,1.0263,-10.6679,5.2110,-28.2189
1780,0.0021,-0.2389,1.0510,-19.7210,-5.4010,-27.4861
1790,0.0077,-0.2510,1.1342,-27.0026,-15.9699,-24.6670
1800,-0.0565,-0.2690,1.2062,-34.4133,-27.8746,-27.2515
1810,-0.0822,-0.2339,1.2340,-41.9146,-37.4008,-28.1553
1820,-0.0973,-0.2367,1.2168,-50.7160,-46.2162,-23.9383
1830,-0.1036,-0.1864,1.2214,-55.3997,-56.6518,-22.5359
1840,-0.1278,-0.1893,1.2425,-63.4226,-62.3643,-24.2128
1850,-0.1591,-0.1361,1.2226,-70.8210,-73.5903,-22.5666
1860,-0.1776,-0.1317,1.1111,-68.7538,-78.4871,-23.4137
1870,-0.2518,-0.1057,1.0771,-74.1855,-86.5799,-21.0596
1880,-0.2267,-0.0931,1.0289,-73.7544,-87.6264,-17.3199
1890,-0.2883,-0.0699,0.9889,-74.1079,-90.6636,-16.7609
1900,-0.2919,-0.0387,0.8926,-69.3563,-87.4388,-16.9052
1910,-0.3046,-0.0064,0.8608,-70.5475,-87.8852,-16.2886
1920,-0.3304,-0.0125,0.7897,-63.8418,-85.9814,-17.4242
1930,-0.3377,0.0351,0.8073,-60.9019,-79.9156,-12.1574
1940,-0.3254,0.1013,0.7447,-56.6808,-75.5270,-10.2908
1950,-0.2913,0.0693,0.7265,-50.5810,-70.2736,-7.4572
1960,-0.2555,0.0862,0.7334,-38.8574,-64.9997,-3.8607
1970,-0.2230,0.0952,0.7895,-30.5845,-57.2937,-5.3122
1980,-0.2171,0.0935,0.8204,-21.7543,-45.5851,-2.5707
1990,-0.1625,0.1588,0.8421,-9.8521,-34.8515,-4.7483
2000,-0.1197,0.1436,0.9209,-4.8990,-25.7768,1.3256
2010,-0.0345,0.1540,0.9562,4.7782,-13.2934,2.4778
2020,-0.0259,0.1869,1.0323,13.2924,-4.1487,5.2079
2030,0.0998,0.1987,1.0829,23.1037,13.8389,5.6602
2040,0.1278,0.1251,1.1377,31.7810,21.6284,7.1370
2050,0.1779,0.1547,1.1899,39.3734,34.4325,10.9742
2060,0.2412,0.1358,1.2030,51.6150,45.9540,8.2387
2070,0.2890,0.1195,1.2397,49.4867,50.0175,12.1587
2080,0.3095,0.1039,1.2368,59.7183,64.0432,14.6459
2090,0.3460,0.0770,1.1949,64.4272,71.1452,12.3520
2100,0.3439,0.0889,1.1411,67.5885,75.4206,13.0612
2110,0.3741,0.0459,1.1285,68.1950,79.7368,17.6185
2120,0.3745,0.0202,1.0227,71.1124,84.4872,18.1449
2130,0.3425,0.0181,0.9738,71.0935,84.3946,20.1249
2140,0.3609,-0.0143,0.9633,69.4321,92.2630,21.3909
2150,0.3175,-0.0482,0.9009,69.9142,90.0402,19.7307
2160,0.2942,-0.0753,0.8533,66.5802,87.4557,22.8768
2170,0.2487,-0.0713,0.7832,62.5627,84.6208,25.3433
2180,0.2360,-0.1183,0.7302,60.6643,83.8567,23.2252
2190,0.2326,-0.1501,0.7262,52.3089,81.2095,24.0206
2200,0.1630,-0.1862,0.7405,49.0561,69.8909,23.0251
2210,0.1768,-0.1937,0.7207,40.4379,64.5244,27.3382
2220,0.1479,-0.2229,0.7405,35.8606,55.1807,29.9620
2230,0.1206,-0.2154,0.7626,26.6433,50.3665,23.8713
2240,0.0479,-0.2247,0.8138,18.4277,39.5936,28.2939
2250,0.0679,-0.2807,0.9117,6.8153,32.7634,28.7328
2260,0.0644,-0.2453,0.9601,-1.0911,18.2095,25.9306
2270,0.0179,-0.2362,0.9871,-9.8114,7.0213,26.2547
2280,0.0175,-0.2465,1.0447,-15.9579,-3.8964,24.8103
2290,-0.0495,-0.2669,1.1070,-22.8754,-11.4077,25.0967
2300,-0.0085,-0.2172,1.1772,-30.6382,-27.3304,26.5984
2310,-0.0547,-0.2488,1.1763,-41.1041,-32.8505,27.1300
2320,-0.0469,-0.2481,1.2191,-47.3074,-44.2418,25.5255
2330,-0.1259,-0.2309,1.1859,-57.2818,-55.3467,26.3002
2340,-0.1053,-0.1903,1.1913,-64.8245,-65.9465,24.1566
2350,-0.1482,-0.1536,1.2017,-66.1226,-68.8692,20.7228
2360,-0.1573,-0.1277,1.1693,-69.4662,-74.1423,24.8269
2370,-0.2199,-0.1245,1.0779,-73.6099,-83.5670,23.2856
2380,-0.2410,-0.1290,1.0275,-75.3404,-85.5076,18.4825
2390,-0.2062,-0.0966,1.0042,-70.9170,-85.4282,22.2750
2400,-0.2892,-0.0773,0.9202,-72.7842,-91.0749,18.5281
2410,-0.3058,-0.0364,0.8546,-72.4529,-90.1452,16.4703
2420,-0.3096,-0.0436,0.8244,-61.4005,-90.3208,18.5717
2430,-0.3304,0.0184,0.7762,-61.5385,-85.2102,8.5074
2440,-0.2847,0.0517,0.7667,-57.5407,-80.7989,8.7833
2450,-0.2633,0.0595,0.7458,-48.9835,-75.2147,11.6096
2460,-0.2935,0.0915,0.7213,-45.0129,-68.9061,8.1586
2470,-0.2925,0.0783,0.7447,-34.1589,-63.9861,5.4557
2480,-0.2035,0.0830,0.7744,-32.8397,-55.2641,8.6859
2490,-0.1715,0.1109,0.7834,-25.2752,-46.5540,5.2915
2500,-0.1442,0.1552,0.8282,-16.4885,-36.0227,0.6085
2510,-0.0904,0.1613,0.9218,-9.2013,-28.0992,0.1913
2520,-0.0719,0.1381,0.9386,5.1291,-16.5989,1.2520
2530,-0.0019,0.1739,1.0531,8.1516,-2.4517,1.3853
2540,0.0250,0.1430,1.0926,17.8974,7.6184,-7.5295
2550,0.0757,0.1767,1.1332,27.7397,15.4836,-4.6833
2560,0.1812,0.1491,1.1936,37.2252,27.6376,-7.7144
2570,0.1970,0.1208,1.2223,45.7091,40.6699,-12.0193
2580,0.2986,0.1333,1.2519,51.2388,49.9743,-10.5308
2590,0.2898,0.0869,1.2187,60.9424,56.7047,-14.8730
2600,0.3034,0.0662,1.2057,60.7463,66.9090,-14.2996
2610,0.3527,0.0350,1.1720,66.4251,73.8946,-11.6362
2620,0.3838,0.0467,1.1683,70.9365,82.1446,-15.2349
2630,0.3598,0.0170,1.0943,70.5266,82.9710,-16.0543
2640,0.3212,-0.0055,1.0015,71.3147,89.2649,-17.5562
2650,0.3410,-0.0379,0.9482,70.6597,90.3601,-19.2603
2660,0.3449,-0.0247,0.8829,68.9548,88.0657,-19.0950
2670,0.2839,-0.0891,0.8366,65.2168,90.9429,-24.3692
2680,0.2557,-0.1172,0.7983,63.1163,88.5444,-23.6322
2690,0.2648,-0.1013,0.8044,56.6189,80.6868,-22.1003
2700,0.2192,-0.1204,0.6995,54.9645,82.0230,-25.9338
2710,0.1691,-0.1609,0.7498,45.3828,70.5775,-25.9559
2720,0.1524,-0.2243,0.7472,44.6141,62.7268,-23.3800
2730,0.1159,-0.2202,0.7525,35.1715,54.4522,-23.2352
2740,0.1135,-0.2096,0.8013,25.9560,47.5395,-27.7317
2750,0.0859,-0.2335,0.8476,14.0842,36.4912,-28.3833
2760,0.0852,-0.2114,0.9186,4.1101,24.2195,-25.7728
2770,0.0607,-0.2743,0.9869,0.5577,18.2805,-26.3991
2780,-0.0042,-0.2362,1.0000,-10.7077,4.9887,-28.1631
2790,0.0164,-0.2619,1.1157,-18.7439,-4.3642,-25.5030
2800,0.0068,-0.2194,1.1346,-29.8708,-12.9073,-25.2952
2810,-0.0204,-0.2414,1.2111,-33.7132,-27.9058,-25.8620
2820,-0.0298,-0.2101,1.2191,-44.8286,-43.4688,-19.8083
2830,-0.0841,-0.2317,1.2516,-49.8148,-49.1628,-22.3134
2840,-0.1192,-0.2306,1.2383,-60.1168,-60.3135,-22.6221
2850,-0.1087,-0.2067,1.2318,-63.2341,-66.4187,-21.4032
2860,-0.1763,-0.1771,1.1800,-65.0646,-73.4677,-16.7366
2870,-0.2298,-0.1613,1.1124,-70.3594,-82.5423,-19.2770
2880,-0.1927,-0.0948,1.0906,-72.1647,-86.7206,-21.8037
2890,-0.2534,-0.0687,1.0330,-70.4934,-88.1494,-18.6642
2900,-0.2658,-0.0689,1.0073,-72.0231,-89.7098,-18.1087
2910,-0.3108,-0.0668,0.8560,-67.8963,-94.9857,-17.9145
2920,-0.3258,-0.0215,0.8322,-72.4291,-87.0537,-14.8349
2930,-0.3317,-0.0066,0.8080,-62.5077,-86.1920,-13.3236
2940,-0.3169,0.0610,0.7266,-57.6063,-82.1244,-12.3618
2950,-0.2953,0.0606,0.7285,-55.9199,-76.2150,-11.6566
2960,-0.3331,0.0850,0.7726,-48.7527,-72.1474,-7.4843
2970,-0.2490,0.0854,0.7711,-37.2718,-62.8205,-10.6411
2980,-0.2568,0.0693,0.7520,-33.3809,-52.2839,-4.2978
2990,-0.2155,0.1080,0.8389,-24.1050,-42.7403,-4.2167
3000,-0.1296,0.1134,0.8919,-11.8350,-32.5312,-1.8132
3010,-0.0914,0.1512,0.9456,-4.3096,-22.7402,-5.2242
3020,-0.0663,0.1504,0.9999,6.3005,-12.7337,4.3911
3030,0.0550,0.1340,1.0560,12.1672,2.1638,-0.6613
3040,0.0543,0.1409,1.0883,22.7946,11.3420,2.6289
3050,0.1379,0.1748,1.1507,33.8023,22.0315,7.4544
3060,0.1898,0.1160,1.2139,40.4467,29.7993,6.7159
3070,0.2599,0.1058,1.2248,42.6615,42.5462,8.7203
3080,0.2608,0.1063,1.2664,54.6121,49.7161,6.6766
3090,0.3196,0.0823,1.2161,58.5989,63.8010,11.5859
3100,0.3093,0.0695,1.1530,61.4390,69.4755,14.3300
3110,0.3640,0.0670,1.1558,70.0312,74.7651,16.7692
3120,0.3340,0.0697,1.1216,66.3725,80.9233,16.2027
3130,0.3422,-0.0235,1.0684,75.1448,90.6030,18.4704
3140,0.3805,-0.0121,1.0019,70.6311,90.7079,20.1091
3150,0.3355,-0.0361,0.9209,74.3780,87.1895,19.0991
3160,0.3153,-0.0605,0.9147,69.6679,89.6570,19.8932
3170,0.3360,-0.0871,0.8178,64.4350,86.3403,26.1838
3180,0.2747,-0.1130,0.8027,63.7903,83.0153,21.5375
3190,0.2219,-0.1113,0.7467,59.1877,82.5486,26.5015
3200,0.2265,-0.1616,0.7103,54.2808,82.0433,24.9150
3210,0.1588,-0.1765,0.7583,48.5124,73.6753,28.3244
3220,0.1746,-0.1948,0.6942,36.4323,62.1754,24.7813
3230,0.1512,-0.2084,0.7551,31.4625,52.9256,27.4548
3240,0.0928,-0.2271,0.8199,23.9506,45.0478,27.3943
3250,0.0690,-0.2149,0.8562,13.0603,36.3739,26.5208
3260,0.0643,-0.2431,0.9371,2.7711,20.7912,27.6828
3270,0.0430,-0.2443,0.9774,-5.5961,9.8048,25.5762
3280,0.0034,-0.2510,1.0347,-11.5105,5.4827,26.8229
3290,0.0124,-0.2685,1.1538,-21.5678,-10.7498,25.9499
3300,-0.0589,-0.2604,1.1541,-33.0103,-19.0233,27.9035
3310,-0.0470,-0.2573,1.1926,-41.7862,-32.2966,25.8128
3320,-0.0666,-0.2228,1.1970,-43.3514,-39.2803,22.7804
3330,-0.0882,-0.2274,1.2144,-55.6814,-53.2503,24.1417
3340,-0.0993,-0.2203,1.2381,-57.5030,-59.0303,24.0317
3350,-0.1544,-0.1781,1.2193,-63.9690,-64.2318,21.7215
3360,-0.1486,-0.1504,1.1716,-70.2568,-72.8809,25.1115
3370,-0.1902,-0.1760,1.1154,-69.2304,-81.0953,22.3813
3380,-0.2298,-0.0819,1.0836,-71.8364,-83.2406,22.0763
3390,-0.2734,-0.0879,0.9674,-69.2437,-89.6240,17.6259
3400,-0.2932,-0.0652,0.9308,-66.9389,-92.6180,17.0759
3410,-0.2820,-0.0156,0.8701,-69.9616,-88.7742,18.4630
3420,-0.3233,-0.0068,0.7975,-64.0807,-85.2469,12.0793
3430,-0.3086,0.0036,0.7766,-59.9905,-83.3359,14.1838
3440,-0.2875,0.0816,0.7325,-58.2885,-83.3607,12.2115
3450,-0.2804,0.0358,0.7159,-53.7110,-74.2323,9.6796
3460,-0.2534,0.0757,0.7673,-42.0892,-67.9322,9.2515
3470,-0.2624,0.1149,0.7637,-37.7296,-61.4586,5.1552
3480,-0.2418,0.0934,0.8070,-28.3790,-55.9347,5.9305
3490,-0.1618,0.1248,0.8249,-21.0343,-40.0647,1.5573
3500,-0.1326,0.1442,0.8928,-12.5108,-30.7349,-0.1307
3510,-0.0672,0.1919,0.9463,-4.8201,-21.1696,3.4921
3520,-0.0336,0.1307,1.0189,7.1231,-14.2140,-2.3641
3530,0.0455,0.1490,1.1027,16.9379,-2.6376,-6.8008
3540,0.0957,0.1615,1.1086,22.5644,13.7884,-2.4493
3550,0.1487,0.1449,1.1677,29.1003,24.7222,-7.5800
3560,0.1940,0.1115,1.1975,39.6029,34.5803,-14.5790
3570,0.2376,0.1329,1.1514,43.7425,43.2784,-9.3802
3580,0.2744,0.1131,1.2019,52.0170,54.2104,-9.0433
3590,0.3062,0.1038,1.2224,61.3363,60.9548,-11.6913
3600,0.3465,0.0983,1.2105,68.3819,69.3794,-10.5414
3610,0.3336,0.0723,1.1425,68.6266,75.6883,-15.7933
3620,0.3848,0.0367,1.1240,68.2787,83.2765,-15.7842
3630,0.3459,0.0110,1.0686,73.2243,85.7259,-20.2259
3640,0.3603,-0.0384,0.9809,67.3814,90.6140,-18.9758
3650,0.3238,-0.0449,0.9534,69.5760,91.3622,-17.4636
3660,0.3044,-0.0590,0.9098,72.3678,88.1829,-20.3811
3670,0.3296,-0.0936,0.8364,68.2717,92.2208,-21.9318
3680,0.2553,-0.1096,0.7605,59.8786,83.3997,-27.1027
3690,0.2068,-0.1527,0.7771,54.0889,82.1093,-24.8105
3700,0.1902,-0.1272,0.7288,53.2938,77.9409,-27.3040
3710,0.1740,-0.1324,0.7233,45.7636,72.6294,-23.7772
3720,0.1971,-0.2013,0.7457,37.5946,58.2951,-27.2690
3730,0.1338,-0.2010,0.7584,32.1358,56.5816,-25.5107
3740,0.1230,-0.2283,0.8330,21.3708,47.1226,-28.5330
3750,0.0581,-0.2111,0.8884,8.3452,35.5310,-23.0981
3760,0.0643,-0.2354,0.9578,4.6343,17.2729,-29.2074
3770,0.0524,-0.2469,1.0037,-6.7453,9.9358,-26.6176
3780,0.0578,-0.2545,1.0324,-15.5820,0.8612,-21.6150
3790,-0.0110,-0.2462,1.1025,-24.9594,-11.0684,-26.1530
3800,-0.0042,-0.2644,1.1723,-30.1024,-18.4775,-27.9813
3810,-0.0287,-0.2243,1.1826,-39.4326,-32.3325,-24.6773
3820,-0.0772,-0.2418,1.2761,-44.0430,-38.9661,-23.4167
3830,-0.0784,-0.2052,1.2242,-51.9096,-49.1294,-23.1009
3840,-0.1106,-0.1966,1.2139,-55.6416,-62.8644,-27.9218
3850,-0.1809,-0.1578,1.2270,-63.8813,-70.5048,-22.7385
3860,-0.1527,-0.1581,1.1807,-68.5708,-76.7642,-26.3636
3870,-0.1810,-0.1162,1.1197,-73.8299,-80.9284,-17.4734
3880,-0.2294,-0.1308,1.0574,-73.8051,-83.5286,-19.9411
3890,-0.2730,-0.0761,1.0099,-70.6766,-88.6978,-19.8362
3900,-0.2390,-0.0687,0.9574,-65.4332,-87.9567,-16.4009
3910,-0.2820,-0.0359,0.8973,-72.3413,-93.0278,-15.4927
3920,-0.2798,-0.0159,0.8271,-69.4603,-94.8893,-17.5624
3930,-0.2797,0.0231,0.8008,-63.4623,-87.2879,-10.7638
